l,ENSG00000174013.7,ENSG00000109805.8,ENSG00000127329.13,ENSG00000269113.3,ENSG00000049239.11,ENSG00000267206.4,ENSG00000175643.8,ENSG00000085999.10,ENSG00000167178.14
Luminal A    ,137412.03191199998,40373.2180616,96234.85008130001,28769.122386699997,232092.078336,4185.46409248,58671.689691,29727.7036225,9994.53060296
Luminal A    ,142401.55513800003,58286.5832105,89341.44235930001,10025.6507238,378069.64021700004,3227.03643395,58243.1688702,12666.519875799999,3223.13553349
Luminal A    ,92656.04900419999,57954.32355750001,52122.670059,13482.0623753,290614.160462,1033.23316999,133110.346709,25523.0467164,5864.51698906
Luminal A    ,151470.27873800002,129051.438443,81416.2164162,17588.4148107,342197.964652,482.077793858,136012.213897,58868.922792900004,4427.54068445
Luminal A    ,131684.881796,52612.583940900004,46450.62638,13940.8536717,308079.062147,4196.71250526,89587.30419919999,19218.0557477,15610.2434417
Luminal A    ,116938.79573299999,25975.2367479,22917.445064300002,8449.55278427,112154.251927,161.444873498,87415.13666939999,18926.2448463,1912.75525177
Luminal A    ,63486.1706495,10468.7280016,64859.5302819,43053.8293335,469531.65689399996,10310.940738700001,29946.646840099995,9143.61227247,23122.2503363
Luminal A    ,122790.59383499999,35943.7803332,90078.2476584,14081.9494016,239645.254539,3607.63510875,139018.725195,24387.3849564,19880.133151299997
Luminal A    ,71856.1498647,18409.193096900002,16740.4819006,38353.6404796,330534.69563699997,5222.96635644,136967.462803,19258.321054599997,10727.6620599
Luminal A    ,67548.48138730001,6827.08226863,130299.714757,37034.2298054,543146.614693,3074.73315736,55685.682833000006,6436.64562581,11013.300063600002
Luminal A    ,189292.42248699997,59354.2396189,25357.249473599997,9518.04961256,316224.947735,206.35989857599998,48161.4665179,21275.6926939,13418.5008234
Luminal A    ,80013.26415369999,50848.343609699994,104626.68238,11040.0826044,540685.201817,25236.8548334,95569.8261035,33578.9145907,15674.783366100002
Luminal A    ,106167.974739,23782.4305819,39657.4869982,10791.2063019,342837.119267,899.4995049830001,114873.912865,12051.2770541,11400.5406855
Luminal A    ,118038.00123299999,129523.307495,67064.9742529,24853.9789996,122965.13658900002,9077.24901001,112502.484194,63522.0104445,14363.1253553
Luminal A    ,130026.938205,75726.3159927,29243.818980199998,15516.391537700001,226395.169269,7501.52665768,78079.41070489999,58482.722619800006,7768.63729496
Luminal A    ,99510.0424615,29415.3982586,49665.667456999996,20036.0861314,155379.853803,12950.7831049,40866.001477,16052.6641537,12958.603693500001
Luminal A    ,96477.989044,38727.5266121,11338.3459621,28311.553732,216809.134677,1273.84153666,165296.85650599998,21666.608889,7546.06521836
Luminal A    ,143974.027896,45625.366185,87683.8729717,14500.205551199999,218812.60611599998,6007.4122456000005,139082.82541199998,18968.672242200002,13903.7967338
Luminal A    ,107192.248893,98777.3009598,51429.1163917,11182.9329404,165449.425426,1199.84670758,313779.770808,51993.407135500005,12165.7887573
Luminal A    ,145582.591723,52069.3636579,64808.7902373,103085.847192,417496.515857,2238.86089743,50393.987509599996,34077.165935900004,6631.3547881
Luminal A    ,105690.874838,98399.492098,24968.8721556,6101.3132294,178264.988967,503.889882928,37632.23516630001,28832.3741148,6710.41028872
Luminal A    ,116511.041204,34018.8477049,71087.0430306,22410.812541599997,338575.416423,6868.11009686,128397.94221300002,38570.9451015,6186.56406384
Luminal A    ,96627.7795515,25325.2977035,39342.9729615,3467.86298272,122522.635432,1583.01540558,82429.1340356,6351.61110687,5088.60358341
Luminal A    ,71748.07559780001,10914.3678125,47795.261251699994,86840.05601769999,465079.09836199996,1895.39735245,22244.3279913,9211.02080217,13354.3252384
Luminal B    ,105833.57350700001,138063.359497,44875.6814485,15160.6253958,409926.569394,1196.9496934000001,119686.401762,61180.699807000005,3407.87004714
Luminal B    ,190085.887896,165385.259161,21053.5265004,2680.25224873,116685.562549,947.7705750719999,414767.410744,113752.92731900001,3220.70078445
Luminal B    ,164860.195059,228244.28486100002,43221.7534171,4589.28559738,155099.666773,564.807973055,81199.9810533,75178.9539918,16288.305286
Luminal B    ,108574.52388299999,111023.33083800001,14617.4422308,4688.20402253,216864.110539,0.0,344660.09486199997,94898.1426602,5186.023389399999
Luminal B    ,65768.4713338,110978.18545799999,26858.685120200003,3557.65337741,110285.226549,875.68792584,326633.649661,36510.533976499995,4342.98725784
Luminal B    ,108686.37950499999,60930.014490400004,30029.0886079,813.044391295,181086.63198499999,486.016337925,126133.385602,47946.2229059,1473.02542281
Luminal B    ,145222.38457999998,88236.2378207,125888.021975,3497.23376942,101699.442488,5785.48510272,73495.95920489999,27606.715093000003,4219.58811569
Luminal B    ,62093.3536018,63259.244987599996,54120.7305761,24323.5855669,352140.539261,528.727028215,82676.23890239999,28777.762758599998,5717.91719003
Luminal B    ,93946.23638189999,126485.474603,18362.7742916,24038.022083099997,262120.851215,0.0,242095.06435,45400.882123,3497.89039091
Luminal B    ,220124.153868,175778.740189,21166.467916900005,1088.8778882000001,113293.386886,0.0,172976.375787,92103.153147,2824.63955049
Luminal B    ,288308.474244,284302.859891,22027.9857837,1546.01997323,137542.441468,140.634514804,488742.896204,104587.112748,6742.29663548
Luminal B    ,115747.008246,32818.3702747,46245.842837699995,7061.22006316,258065.00755300003,181.270358077,128045.931373,23811.8254838,6442.92671344
Luminal B    ,244962.50812800002,221833.569592,30019.089468000002,1445.25790266,162378.465356,711.4773480289999,124757.921754,86478.6650896,1764.29123067
Luminal B    ,507299.230472,162032.81827000002,24671.843351900003,810.4269737039999,130266.68060699999,423.895250821,222265.26092600002,111033.699338,2511.09821464
Luminal B    ,138707.440203,92368.51342110001,74113.9876142,11429.3864786,253699.35134499997,1172.82715851,130007.424941,29462.352978099996,4380.44290227
Luminal B    ,111746.47728199999,148673.97145799999,30724.3609631,46448.373866,252167.55442600002,1186.56427171,596685.875201,83957.623259,9873.35832328
Luminal B    ,225079.00682399998,108736.87361300002,26795.717533099996,4357.59752576,160467.78510799998,0.0,92354.5883797,56748.958748000005,3206.79982662
Luminal B    ,153320.469327,84266.7343215,29052.015776599997,4157.20811089,330032.995905,1822.3836173,40727.4615452,95634.5473603,7760.01797494
Luminal B    ,201094.07871099998,212415.956147,17494.937244099998,5129.53037689,229657.477231,470.0163268,768060.912876,152345.480849,1683.53823792
Luminal B    ,119643.869272,56711.5281413,45564.775505699996,9274.790977600001,172715.875845,392.01581391800005,88685.1962206,44417.45431569999,5022.53796404
Luminal B    ,150361.188481,166322.503131,43213.0126901,9943.31400181,151962.687175,952.8307489919999,190354.840795,70644.0543637,7350.89947444
Luminal B    ,152438.50366,82678.5928184,26594.067721400002,8827.47083126,239299.164625,843.3286045089999,167533.955805,56581.83569480001,2881.27827632
Luminal B    ,157057.577292,45105.40622809999,27519.3324911,1256.94079399,119865.23373499999,276.818984467,133345.990291,26077.1756912,1449.15940746
Luminal B    ,154064.31812799998,87426.9880118,49548.8048782,18030.1099645,224442.80928699998,2225.52935885,177983.43521300002,35757.23099730001,7174.40481414
Luminal B    ,149545.90936700001,66633.25347000001,59774.8890005,6485.80910758,311715.37192,726.945821939,72236.9553104,32337.9993051,5875.30140129
Luminal B    ,93867.6080626,48595.9334505,23671.549129799998,7437.02071888,197682.321353,0.0,41329.166753800004,13087.3074639,1684.24392109
Luminal B    ,97064.3135924,111462.516207,33379.7586786,8906.43834574,159566.993205,536.233462644,161025.389657,27783.1371792,6722.5183588
